"";"ans1";"Biospheric-1biospheric";"Biospheric-2biospheric";"Biospheric-3biospheric";"Biospheric-4biospheric";"commCheck";"concernClimate1";"concernClimate2";"dummy_informedconsent";"education";"feedback_critic";"ID";"lrscale";"mean_BiosphericValues";"mean_CCCprobability";"mean_CET";"mean_PolicyItems";"mean_RiskPerception";"meta.devicePixelRatio";"meta.language";"meta.locale";"meta.platform";"meta.screen_height";"meta.screen_width";"meta.scroll_height";"meta.scroll_width";"meta.timeZone";"meta.timezoneOffset";"meta.userAgent";"meta.window_innerHeight";"meta.window_innerWidth";"policyItems-1";"policyItems-2";"policyItems-3";"policyItems-4";"policyItems-5";"policyItems-6";"policyItems-7";"policyItems-8";"probabilityClimate1";"probabilityClimate2";"PROLIFIC_PID";"Risk-1riskProb";"Risk-2riskProb";"Risk-3riskProb";"Risk-4riskProb";"rlgdgr";"total_min_prolific_t2";"CAM_ID";"participantCAM";"mean_valence_macro";"mean_valence_normed_macro";"density_macro";"transitivity_macro";"centr_degree_macro";"centr_clo_macro";"centr_betw_macro";"centr_eigen_macro";"meanDistance_directed_macro";"meanDistance_undirected_macro";"diameter_weighted_undirected_macro";"diameter_unweighted_undirected_macro";"diameter_unweighted_directed_macro";"num_nodes_macro";"num_nodes_pos_macro";"num_nodes_neg_macro";"num_nodes_neut_macro";"num_nodes_ambi_macro";"num_edges_macro";"num_edges_solid_macro";"num_edges_dashed_macro";"num_edges_invaliddashed_macro";"meanWeightEdges_macro";"reciprocity_macro";"assortativity_valence_macro";"assortativityDegree_macro";"degreetot_micro_ClimateChange";"valence_micro_ClimateChange";"centr_clo_micro_ClimateChange";"transitivity_micro_ClimateChange";"country"
"11";"Klimawandel klingt sehr negative, bevor Maßnahmen jeder spricht Negative";8;7;7;7;1;5;5;1;"highschool";"";11;"5";7,25;5;0,56;4;5,25;2;"tr-TR";"tr-TR";"MacIntel";956;1470;435;1324;"Europe/Berlin";-60;"Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7) AppleWebKit/605.1.15 (KHTML, like Gecko) Version/17.1.2 Safari/605.1.15";762;1324;7;6;4;2;6;3;2;2;4;6;"6524e0ef44178670528207b7";6;5;5;5;"3";21,4333333333333;"68cfe374-e593-4d67-a20b-26405c0cbc8c";"noID";-1,07692307692308;-0,461538461538462;0,166666666666667;0;0,75;0,888447695999016;0,948863636363636;0,764343752206628;2,66666666666667;2,66666666666667;6;3;3;13;3;9;1;0;13;13;0;0;1,38461538461538;1;-0,733333333333334;-0,804705882352941;11;0;1;0;"Germany"
"12";"Klimawandel hat einen negativen Einfluss auf die Welt. Natürlich ist es positiv, wenn wir alle aktiv etwas dagegen tun und das Ruder rumreißen, trotzdem wäre es alles von vornherein nicht nötig gewesen, wenn man sich nicht schon früher damit befasst hätte. Auch denke ich an die immer noch vielen Klimawandelleugner sowie den großen Teil der Gesellschaft der sich sagt, ""Kann man eh nicht mehr ändern"".";6;8;7;7;1;5;4;1;"no";"";12;"3";7;5;0,56;5;5;1;"de";"de-DE";"Win32";1080;1920;179;1920;"Europe/Berlin";-60;"Mozilla/5.0 (Windows NT 10.0; Win64; x64; rv:120.0) Gecko/20100101 Firefox/120.0";899;1920;7;5;4;7;6;1;4;6;4;7;"65391c7ecf65866247606910";6;6;3;5;"1";29,1;"77b3cb53-933f-4bb4-b7de-ebd5ddc15db7";"noID";-0,25;-0,125;0,183333333333333;0,0857142857142857;0,416666666666667;0,344849198771518;0,468359788359788;0,689824832853583;4,24166666666667;4,24166666666667;8;5;5;16;5;7;1;3;22;15;7;2;2,04545454545455;1;-0,385185185185184;-0,516579406631762;3;0;0,892857142857143;0;"Germany"
"13";"Weil der Klimawandel deutlich negativ zu bewerten ist, und ich in der Mind-Map eher Ursachen und Folgen aufgezeigt habe";6;9;9;4;1;7;7;1;"highschool";"";13;"1";7;6,75;0,52;5,875;6,5;1;"de-DE";"de";"Win32";1080;1920;435;1920;"Europe/Berlin";-60;"Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/120.0.0.0 Safari/537.36";959;1920;7;5;7;6;7;1;7;7;6;7;"64ef6d994d6b1f11074bdfcf";7;7;5;7;"2";18,95;"845f9a37-d525-46da-b92f-d77518b39a01";"noID";-1,78571428571429;-0,571428571428571;0,142857142857143;0;0,164835164835165;0,341031277621625;0,525641025641026;0,644501139690758;8,17582417582418;8,17582417582418;15;5;5;14;2;10;0;2;13;11;2;0;2,69230769230769;1;-0,0263157894736834;-0,544061302681992;4;-3;1;0;"Germany"
"14";"Es gibt mehr negative Aspekte beim Klimawandel, da viele seiner Auswirkungen gravierende Herausforderungen für die Umwelt, Gesellschaften und Wirtschaftssysteme darstellen. Der Temperaturanstieg, Extremwetterereignisse, der Meeresspiegelanstieg und andere negative Folgen haben breit gefächerte Auswirkungen auf Ökosysteme, Artenvielfalt, Wasserversorgung, Ernährungssicherheit und sozialen Zusammenhalt.";9;9;9;9;1;6;5;1;"bachelor";"";14;"6";9;6;0,52;3,375;5,25;1;"de-DE";"de";"Win32";1440;2560;435;2560;"Europe/Berlin";-60;"Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/120.0.0.0 Safari/537.36";1315;2560;7;1;7;2;7;1;1;1;7;6;"65426792dac360c44e4908a7";6;7;5;3;"9";29,4166666666667;"8395cebf-99fe-4722-bb52-6df91f3511f6";"noID";-0,846153846153846;-0,461538461538462;0,153846153846154;0;0,846153846153846;1;1;0,775990762260204;1,84615384615385;1,84615384615385;2;2;2;13;2;8;3;0;12;12;0;0;1;1;-0,6;-1;12;0;1;0;"Germany"
"15";"Alle meine GEdanken basieren auf wissenschaftlicher Grundlage.";9;9;9;9;1;6;4;1;"phd";"Vielen Dank";15;"6";9;5,75;0,36;4,25;6;2;"de-DE";"tr";"MacIntel";800;1280;435;1280;"Europe/Berlin";-60;"Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/120.0.0.0 Safari/537.36";683;1280;7;2;6;1;7;6;1;4;6;7;"6526b4db08c36959a00e69c4";6;7;6;5;"6";34,4666666666667;"4aab4dba-a536-4b34-ab9a-3ce26f747329";"noID";0,285714285714286;0,0714285714285714;0,142857142857143;0;0,78021978021978;0,908437627187627;0,97534516765286;0,786061490699736;1,97802197802198;1,97802197802198;3;3;3;14;6;5;2;1;13;13;0;5;1;1;-0,376947040498444;-0,875856509471987;12;3;1;0;"Germany"
"16";"Die Mindmap war negativ, weil ich viele Probleme der Menscheit mit dem Klimawandel in Verbindung setze, welche durch vergange Generationen ausgelöst, von derzeitigen Generationen  weiter forciert und für kommende Generationen ein großes Problem darstellt. ";9;8;8;7;1;6;5;1;"bachelor";"";16;"5";8;6;0,2;5,875;6,75;1;"de";"de-DE";"Win32";1080;1920;435;1858;"Europe/Berlin";-60;"Mozilla/5.0 (Windows NT 10.0; Win64; x64; rv:120.0) Gecko/20100101 Firefox/120.0";967;1858;6;5;7;7;7;1;7;7;6;7;"6467da9866656b457f1f35ae";7;7;6;7;"2";43,5833333333333;"f6425716-e339-410e-9532-5bc990d91ebb";"noID";-1,07692307692308;-0,384615384615385;0,243589743589744;0,276315789473684;0,673076923076923;0,838410642387915;0,80050505050505;0,709420082516951;3,47435897435897;3,47435897435897;8;3;3;13;2;7;0;4;19;13;6;4;1,78947368421053;1;0,540322580645161;-0,465277777777778;11;-3;1;0,127272727272727;"Germany"
"17";"Ich sehe Klimawandel als eine Naturkatastrophe, daher fallen mir nicht sehr viele positive Dinge dazu ein. Es wird das Leben der Menschen auf lange Sicht stark negativ beeinflussen";8;8;7;9;1;6;5;1;"highschool";"";17;"8";8;5;1;4,875;4,25;1;"de-DE";"de";"Win32";972;1907;435;1904;"Europe/Berlin";-60;"Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/120.0.0.0 Safari/537.36";972;1904;5;1;6;7;5;3;6;6;3;6;"6558c850ec1a05d63f1d04c6";6;6;2;3;"1";30,2666666666667;"63a2c6ea-2acd-420e-b3b0-5687c9ded51e";"noID";-1,28571428571429;-0,428571428571429;0,175824175824176;0;0,208791208791209;0,450066079162147;0,594345825115056;0,638420955427258;4,45054945054945;4,45054945054945;11;5;5;14;4;10;0;0;16;15;1;0;2,0625;1;0,817142857142857;-0,288590604026846;5;-3;1;0;"Germany"
"18";"Weil die momentane Lage ernste und sich häufende Probleme verursacht und wenige bis keine Lösungen gibt die wirksam sind. Es ist auch entmutigend wenn die Menschen um einen herum nicht ihren Teil dazu beitragen dem Klimawandel entgegen zu wirken, da sie keine Fehler in ihrem Verhalten einsehen.  ";9;9;9;8;1;7;6;1;"no";"";18;"6";8,75;6,5;0,12;5,75;6,5;1;"de-DE";"de";"Win32";1080;1920;435;1920;"Europe/Berlin";-60;"Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/120.0.0.0 Safari/537.36";911;1920;7;5;7;6;7;4;5;5;6;7;"63c658437791ac7be49f06e9";7;7;6;6;"7";27,8;"8006c680-19c4-47ba-96bd-2d33b319a5de";"noID";-0,692307692307692;-0,230769230769231;0,243589743589744;0,382978723404255;0,256410256410256;0,394610348573853;0,465909090909091;0,680072743191452;2,43589743589744;2,43589743589744;5;5;5;13;3;6;1;3;19;19;0;0;1;1;0,489247311827957;-0,135869565217392;5;0;1;0,2;"Germany"
"19";"Weil ich den Klimawandel und seine Folgen als sehr negativ betrachte und nichts direktes Positives daran entedecken kann.";7;8;8;5;1;6;4;1;"master";"Vielleicht wäre ein Timer für die Mindmap, der optional angezeigt werden kann, ganz nett. Ansonsten sehr interressante und schöne Studie. Ich wünsche ihnen viel Erfolg bei der Veröffentlichung. :)";19;"4";7;5,5;0,64;5,875;5,75;1;"en-US";"en-US";"Linux x86_64";1080;1920;435;1919;"Europe/Berlin";-60;"Mozilla/5.0 (X11; Linux x86_64; rv:120.0) Gecko/20100101 Firefox/120.0";964;1919;7;6;6;6;7;3;7;5;6;6;"6536973604f263f3c70495bf";7;6;4;6;"1";43,8333333333333;"3b8c1c8c-2179-4cc7-887d-2b4cc9a1f7fb";"noID";-1;-0,466666666666667;0,219047619047619;0,327272727272727;0,138095238095238;0,184519968704;0,18543956043956;0,583629107664448;6,75238095238095;6,75238095238095;17;7;7;15;4;11;0;0;23;13;10;0;2,34782608695652;1;-0,12745098039215;-0,0267857142857156;2;-2;0,882352941176471;0;"Germany"
"20";"Der Klimawandel besteht für mich zum größten Teil aus dessen Folgen, welche so gut wie alle negativ sind. Der Klimawandel ist, wenn nicht völlig Menschgemacht, zumindest Menschgetrieben und wird, wenn wir den momentanen Kurs beibehalten, in einer Katastrophe enden. Immer weniger Land wird bewohnbar sein, bis die noch bewohnbaren Landmassen überrannt werden und die Bevölkerung nicht mehr ausreichend ernährt werden kann und Platz zum leben findet. Ich mache mir große Sorgen, um die Folgen des Klimawandels.";9;7;8;7;1;7;6;1;"highschool";"";20;"4";7,75;6,75;0,8;5,875;6,5;2;"de-DE";"de";"MacIntel";900;1440;435;1440;"Europe/Berlin";-60;"Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/119.0.0.0 Safari/537.36";790;1440;7;4;5;7;7;4;7;6;7;7;"6516d540a78298897619e273";7;7;6;6;"1";18,2333333333333;"c2aedf55-1eb2-46ef-98eb-02f9b3e3cd44";"noID";-1;-0,266666666666667;0,142857142857143;0,12;0,214285714285714;0,435027536148953;0,665620094191523;0,745629950527181;8,19047619047619;8,19047619047619;17;6;6;15;4;8;0;3;15;12;3;0;2,6;1;0,250000000000001;-0,0657894736842102;5;0;1;0,1;"Germany"
"21";"Klimawandel ist sehr wichtig für unser Zukunft. Aber die Leute kümmern sich nicht genug darum. Es geht schleichter...";9;9;9;9;2;2;5;1;"bachelor";"Ich finde diese Arbeit sehr wichtig. Aber ich möchte darauf hinweisen, dass das Thema Klimawandel auch die Ausgaben reicher Menschen umfassen sollte. Beispielweise sollte niemand einen Privatjet haben...";21;"6";9;4;0,84;3,875;5,75;1,25;"de-DE";"de";"Win32";864;1536;436;1536;"Europe/Berlin";-60;"Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/119.0.0.0 Safari/537.36";707;1536;7;6;1;1;7;4;1;4;2;7;"653adf50c2b4d95715fa0383";7;7;5;4;"11";36,5333333333333;"b551fbc5-44e9-4ebe-8c15-715854c4f414";"noID";-0,357142857142857;-0,142857142857143;0,142857142857143;0;0,472527472527473;0,657610238202343;0,864891518737673;0,780259303852818;3,01098901098901;3,01098901098901;8;4;4;14;5;7;1;1;13;12;1;1;1,30769230769231;1;-0,309352517985611;-0,464546056991385;8;0;1;0;"Germany"
"22";"Weil der Klimawandel keine positiven Folgen hat. Außerdem empfinde ich eine enorme Machtlosigkeit im Bezug auf meinen eigenen Beitrag. Vielleicht hängt das auch mit der Berichterstattung der Medien zusammen, die den Klimawandel eher als Apokalypse darstellen und nicht als Chance, etwas zu ändern.";9;9;9;9;1;6;5;1;"master";"";22;"5";9;5;0,44;4,75;4,5;1;"de-DE";"de";"MacIntel";768;1366;435;1366;"Europe/Berlin";-60;"Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/116.0.0.0 Safari/537.36";768;1366;7;3;5;6;7;1;4;5;4;5;"5d43c606773d8b00016eaa8a";5;6;3;4;"6";34,2666666666667;"ddd3ab72-481d-46b2-8fd8-f48d8edcff36";"noID";-1,2;-0,4;0,180952380952381;0,243243243243243;0,176190476190476;0,345272071954462;0,548273155416013;0,630588884715307;5,4952380952381;5,4952380952381;11;6;6;15;4;10;0;1;19;18;1;0;1,89473684210526;1;0,51282051282051;-0,230215827338128;5;-2;1;0,1;"Germany"
"23";"klimawandel ist im algemeinen ein negatives konzept, es handelt sich um eine verschlimmerung in der lebensqualitaet der gesamten menschheit.";7;6;6;7;1;5;5;1;"bachelor";"n/a";23;"5";6,5;5,75;0,76;5;5,75;1;"en-US";"en-US";"Win32";1080;1920;435;958;"Europe/Berlin";-60;"Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/119.0.0.0 Safari/537.36";906;958;6;4;6;5;6;2;5;6;6;7;"6516d321ac5a66a7aef87507";5;6;6;6;"1";23,6666666666667;"1bd8d6c0-0a58-4d66-a3c4-e40460ae3b85";"noID";-0,0952380952380952;0,0476190476190476;0,1;0;0,2;0,439116941478376;0,738947368421053;0,756250031643445;3,23809523809524;3,23809523809524;6;6;6;21;9;8;1;3;21;20;1;2;1,04761904761905;1;-0,00298507462686499;-0,379783393501804;6;0;1;0;"Germany"
